[00:00.000–00:01.180] 你20多岁了
[02:26.180–02:29.430] 金融再复杂也绕不开这四个问题
[02:29.430–02:30.680] 为了容易理解
[02:30.680–02:32.930] 我们先把金融工具分成两大块
[02:32.930–02:35.930] 第一块是基础金融产品
[02:35.930–02:36.930] 第二块
[02:36.930–02:41.680] 是从这些基础产品上继续长出来的衍生工具
[02:41.680–02:45.180] 基础产品再按你交钱以后拿回来什么
[02:45.180–02:46.430] 分成三类
[02:46.430–02:47.680] 直接持有一项资产
[02:47.680–02:49.180] 把钱借给别人
[02:49.180–02:52.180] 以及把钱交给专业的人集中管理
[02:52.180–02:54.180] 这不是唯一的教科书分类
[02:54.180–02:56.930] 但它最适合普通人先把地图搭起来
[02:57.180–02:59.680] 第一类直接持有一项资产
[02:59.680–03:01.180] 最典型的就是股票
[03:01.180–03:03.180] 你买下一家公司的股票
[03:03.180–03:05.180] 本质上是成为这家公司的
[03:05.180–03:06.430] 股东
[03:06.430–03:08.930] 拿到它的一小部分所有权
[03:08.930–03:10.680] 既然是所有权
[03:10.680–03:12.680] 买完以后能不能找公司退货？
[03:12.680–03:13.430] 不能
[03:13.430–03:14.930] 你退给谁？
[03:14.930–03:16.180] 退给你自己吗？
[03:16.180–03:21.180] 你想退出只能在市场里找到下一个愿意接手的人
[03:21.180–03:23.430] 这就是二级市场上的股票买卖
[03:23.430–03:25.180] 很多人买股票以后
[03:25.180–03:27.930] 每天只盯着价格涨没涨
[03:27.930–03:31.430] 却从来没有研究过公司靠什么挣钱
[03:31.680–03:34.430] 这就像你花钱入股一家餐馆
[03:34.430–03:36.430] 进门以后不看他有没有客人
[03:36.430–03:37.680] 菜好不好吃
[03:37.680–03:39.180] 账上赚不赚钱
[03:39.180–03:42.930] 只在门口问自己的股份明天能不能卖贵一点
[03:42.930–03:47.680] 真正的所有权思维是先看这家公司有没有生意
[03:47.680–03:50.680] 能不能持续创造利润和现金流
[03:50.680–03:51.930] 公司经营得好
[03:51.930–03:53.680] 可能用利润分红
[03:53.680–03:55.180] 也可能把钱继续投入
[03:55.180–03:57.430] 让公司的价值增长
[03:57.430–04:01.180] 股东的收益不一定来自另一个股东的亏损
[04:01.180–04:05.180] 也可能来自公司真正创造出来的利润
[04:05.180–04:07.680] 现金流和分红
[04:07.680–04:08.680] 除了股票
[04:08.680–04:11.180] 我们还会直接持有和交易货币
[04:11.180–04:14.930] 而两种货币之间的价格就叫汇率
[04:15.180–04:16.930] 汇率不用想的太复杂
[04:16.930–04:18.180] 它就是一种钱
[04:18.180–04:19.680] 用另一种钱来标价
[04:19.680–04:21.430] 比如你准备出国旅游
[04:21.430–04:23.680] 需要拿人民币换美元
[04:23.680–04:27.680] 进口商去海外买货也需要换美元
[04:27.680–04:29.680] 当需要美元的人突然变多
[04:29.680–04:32.180] 大家都拿人民币去换美元
[04:32.180–04:35.180] 相对人民币的价格就可能上涨
[04:35.180–04:38.430] 反过来外国企业要购买中国商品
[04:38.430–04:40.680] 海外资金想进入中国市场
[04:40.680–04:44.180] 就需要先把手里的钱换成人民币
[04:44.180–04:45.930] 人民币的需求增加
[04:45.930–04:47.430] 它就可能相对升值
[04:47.430–04:49.430] 所以汇率每天变化
[04:49.430–04:51.680] 本质上是在回答一个问题
[04:51.680–04:55.680] 此时此刻大家更愿意持有哪一种货币？
[04:55.930–04:56.430] 但
[04:56.430–05:01.180] 汇率也不是大家在市场里随便叫价就能完全决定的
[05:01.180–05:05.180] 因为它背后连着一家企业的进口成本
[05:05.180–05:07.180] 一个国家的进出口
[05:07.180–05:08.430] 跨境资金流动
[05:08.430–05:10.180] 甚至金融市场的稳定
[05:10.180–05:11.180] 你可以想象一下
[05:11.180–05:12.930] 如果没有任何管理
[05:12.930–05:14.180] 市场一恐慌
[05:14.180–05:17.180] 所有人同时把大量人民币换成美元
[05:17.430–05:19.680] 汇率就可能剧烈波动
[05:19.680–05:21.180] 今天冲到天上
[05:21.180–05:22.680] 明天又掉到地板
[05:22.680–05:24.930] 外资不敢轻易进来
[05:24.930–05:29.180] 国内企业做跨境生意也很难判断未来的成本
[05:29.180–05:32.930] 所以人民币汇率既会受到市场供求影响
[05:32.930–05:34.680] 也实行有管理的浮动
[05:34.680–05:40.680] 我们平时最常接触的个人便利化购汇度是每人每年等值5万美元
[05:41.430–05:43.930] 如果确实有留学等真实用途
[05:43.930–05:47.430] 超过便利化度还可以按要求提供材料办理
[05:47.430–05:51.430] 并不是超过这个数就永远换不了
[05:51.430–05:54.930] 普通人看到的是一美元能换多少人民币
[05:54.930–05:57.930] 企业看到的是成本和利润
[05:57.930–06:01.430] 国家看到的是资金流动和金融稳定
[06:01.680–06:02.680] 一句话理解
[06:02.680–06:08.180] 汇率就是两种货币在不断交换中重新给对方标出的价格
[06:08.180–06:11.180] 还有一类是商品现货
[06:11.180–06:13.680] 这里说的不是你去菜市场买颗白菜
[06:13.680–06:17.430] 重点是能够被标准化大规模交易的大宗商品
[06:17.430–06:18.430] 比如原油
[06:18.430–06:19.680] 天然气黄金
[06:19.680–06:20.930] 白银铜铝
[06:20.930–06:22.180] 小麦玉米
[06:22.180–06:24.180] 大豆白糖和咖啡
[06:24.180–06:25.680] 所谓现货
[06:25.680–06:27.680] 就是你买的是东西本身
[06:27.680–06:30.930] 成交以后现在或者很快就完成交付
[06:30.930–06:33.180] 它的价格主要受到用途
[06:33.180–06:34.430] 稀缺程度
[06:34.430–06:37.180] 供求关系和运输库存影响
[06:37.180–06:38.680] 比如天气异常
[06:38.680–06:39.930] 咖啡豆减产
[06:39.930–06:41.180] 供应变少
[06:41.180–06:42.930] 价格就可能上涨
[06:42.930–06:44.680] 产油国增加产量
[06:44.680–06:46.180] 市场上的原油变多
[06:46.180–06:47.430] 价格就可能承压
[06:47.430–06:48.930] 你会发现股票
[06:48.930–06:51.930] 外汇和大宗商品看起来完全不同
[06:51.930–06:53.680] 但它们都有一个共同点
[06:53.680–06:57.680] 你直接持有的是一项资产本身
[06:57.680–07:00.430] 第二类是把钱借给别人
[07:00.430–07:01.430] 朋友找你借钱
[07:01.430–07:03.680] 可能写张借条就够了
[07:03.680–07:06.680] 可借钱的主体变成国家或者公司
[07:06.680–07:09.430] 就需要更标准的债务凭证
[07:09.430–07:10.930] 这就是债券
[07:10.930–07:12.680] 国家发行的叫国债
[07:12.680–07:15.680] 公司发行的叫公司债或者企业债
[07:15.680–07:18.680] 你买债券不是入股这家公司
[07:18.680–07:20.680] 你是把钱借给他
[07:20.680–07:22.180] 他按约定付利息
[07:22.180–07:23.930] 到期再还本金
[07:24.180–07:29.680] 如果一个信用较弱的公司给出的收益还比信用更强的债券低
[07:29.680–07:31.930] 投资人为什么要把钱借给他？
[07:31.930–07:37.430] 所以很多借款人必须给出更高的收益作为风险补偿
[07:37.430–07:39.680] 这也是为什么看到高收益时
[07:39.680–07:41.180] 先别急着高兴
[07:41.180–07:42.430] 多出来的收益
[07:42.430–07:46.430] 很可能就是别人请你承担风险的价格
[07:46.430–07:49.680] 债券买完以后也不代表价格永远不变
[07:49.680–07:51.430] 举个简单的例子
[07:51.430–07:55.180] 你手里的旧债券每年给4块利息
[07:55.180–07:58.930] 后来市场上新发行的债券每年能给6块
[07:58.930–08:01.180] 别人自然更愿意买新的
[08:01.180–08:02.930] 你的旧债券想卖出去
[08:02.930–08:05.430] 价格往往就得便宜一点
[08:05.430–08:07.180] 所以市场利率上升时
[08:07.180–08:10.180] 固定利率债券的价格通常会下跌
[08:10.680–08:11.680] 市场利率下降时
[08:11.680–08:14.430] 旧债券反而可能更值钱
[08:14.430–08:19.180] 银行存款从关系上看也是一种债权债务关系
[08:19.180–08:20.680] 你把钱存进银行
[08:20.680–08:22.180] 银行使用这笔资金
[08:22.180–08:24.680] 并对你承担相应的偿付义务
[08:24.680–08:26.680] 所以研究所有债权产品
[08:26.680–08:28.930] 最后只盯一个问题
[08:28.930–08:31.430] 借钱的人准备靠什么还你？
[08:31.430–08:34.680] 第三类是把钱交给专业的人集中管理
[08:34.680–08:36.930] 最常见的就是基金
[08:36.930–08:41.430] 基金用大白话讲就是很多人把钱放进同一个资金池
[08:41.430–08:44.930] 再由基金管理人按照合同去买股票
[08:44.930–08:47.180] 债券或者其他资产
[08:47.180–08:51.430] 你买到的是基金份底层资产上涨
[08:51.430–08:53.180] 扣除相关费用后
[08:53.180–08:55.430] 基金净值可能上涨
[08:55.430–08:58.430] 底层资产下跌亏损也由持有人承担
[08:58.430–09:02.680] 有人替你管理和有人替你保本完全是两回事
[09:02.680–09:05.180] 基金经理更像替你开车的人
[09:05.180–09:07.180] 他负责按照约定路线开
[09:07.180–09:10.430] 但不代表他能保证路上不堵车
[09:10.430–09:12.680] 更不能保证你一定赚钱
[09:12.680–09:15.180] 而且这辆车不是免费开的
[09:15.180–09:15.930] 管理费
[09:15.930–09:20.430] 托管费等费用会按规则从基金资产里扣除
[09:20.430–09:24.930] 所以买基金时别只看基金经理的人设
[09:24.930–09:26.930] 也别只看最近一段收益
[09:26.930–09:29.180] 先看钱最后投向了哪里
[09:29.180–09:30.180] 费用怎么收
[09:30.180–09:31.180] 风险有多大
[09:31.180–09:32.930] 什么时候能退出
[09:32.930–09:36.930] 你买的不是一句专业的人替你理财
[09:36.930–09:38.680] 你买的是一篮子资产
[09:38.680–09:42.180] 以及管理这篮子资产的一套规则
[09:42.180–09:45.180] 到这里用10秒钟做一次自测
[09:45.180–09:48.430] 股票是买下一部分资产和所有权
[09:48.430–09:50.680] 债券是把钱借出去
[09:50.680–09:53.680] 基金是把一群人的钱集中起来
[09:53.680–09:55.680] 按合同交给专业的人管理
[09:55.680–09:57.180] 这三件事能对上
[09:57.180–10:00.180] 金融的前半张地图就搭稳了
[10:00.180–10:01.430] 接下来讲最刺激
[10:01.430–10:02.180] 最复杂
[10:02.180–10:05.680] 也最容易让普通人亏得莫名其妙的一部分
[10:05.680–10:07.430] 金融衍生工具
[10:07.430–10:10.180] 常见的四类是远期
[10:10.180–10:12.430] 期货 期权和互换
[10:12.430–10:13.930] 这一次不先被定义
[10:13.930–10:15.930] 我们直接把它们放进生活里
[10:15.930–10:17.930] 第一远期合约
[10:17.930–10:20.430] 假设你准备半年后办婚礼
[10:20.430–10:22.930] 现在酒店一桌是2000元
[10:22.930–10:25.180] 你担心半年以后菜价上涨
[10:25.180–10:27.430] 酒店涨到3000元
[10:27.430–10:29.680] 酒店也担心半年后没有客人
[10:29.680–10:30.930] 宴会厅空着
[10:30.930–10:33.430] 于是你们今天私下签一份合同
[10:33.430–10:35.930] 半年后无论市场价格怎么变
[10:35.930–10:38.680] 都按2000元一桌结算
[10:38.680–10:41.680] 这就是远期最朴素的逻辑
[10:41.680–10:43.430] 两个人今天谈好条件
[10:43.430–10:46.180] 把未来的价格先锁住
[10:46.180–10:50.180] 农民可以和面包厂提前锁定小麦价格
[10:50.180–10:54.430] 外贸企业也可以和银行提前锁定未来的汇率
[10:54.430–10:56.180] 远期合约的价值
[10:56.180–11:00.430] 会跟着它背后的商品利率或者汇率变化
[11:00.430–11:02.930] 它解决的是未来的不确定性
[11:02.930–11:04.430] 好处是灵活
[11:04.430–11:07.930] 数量 时间和交付方式都可以商量
[11:07.930–11:08.930] 问题也很直接
[11:08.930–11:10.930] 这是双方私下约定
[11:10.930–11:12.930] 对方到时候有没有能力履约
[11:12.930–11:14.680] 需要你自己判断
[11:14.680–11:16.180] 第二期货合约
[11:16.180–11:20.180] 期货可以理解成把远期合同搬进交易所
[11:20.180–11:23.680] 就像你原本在微信里和陌生人私下买东西
[11:23.680–11:27.930] 价格 规格和交货时间全靠聊天记录
[11:27.930–11:31.180] 现在把交易搬进一个有统一规则
[11:31.180–11:33.930] 保证金和结算制度的平台
[11:33.930–11:36.180] 交易所提前规定好数量
[11:36.180–11:38.680] 质量 到期时间等标准
[11:38.680–11:42.430] 再通过每日结算和清算机制管理履约风险
[11:42.430–11:43.930] 合同统一以后
[11:43.930–11:45.180] 更容易交易
[11:45.180–11:48.430] 也更容易在到期前平仓退出
[11:48.430–11:51.180] 但期货还有一个必须看懂的东西
[11:51.180–11:52.680] 保证金
[11:52.680–11:55.180] 假设一份价值 10万元的合约
[11:55.180–11:57.930] 你不需要先拿出全部10万元
[11:57.930–11:59.930] 只需要交其中一部分保证金
[11:59.930–12:02.430] 就能参与整笔交易
[12:02.430–12:03.680] 这就是杠杆
[12:03.680–12:04.680] 方向判断对了
[12:04.680–12:05.930] 收益被放大
[12:05.930–12:07.180] 方向判断错了
[12:07.180–12:08.930] 损失也会被放大
[12:08.930–12:10.430] 价格稍微多走几步
[12:10.430–12:11.680] 你的保证金就可能不够
[12:11.680–12:12.930] 还要继续补钱
[12:12.930–12:14.180] 甚至被强制平仓
[12:14.680–12:17.430] 杠杆不会提高你的判断能力
[12:17.430–12:22.930] 它只会让判断的结果更快更大的来到你面前
[12:22.930–12:23.930] 期货
[12:23.930–12:26.180] 本身不等于赌博
[12:26.180–12:28.430] 农民可以用它锁住粮价
[12:28.430–12:30.680] 航空公司可以用它管理油价
[12:30.680–12:33.430] 生产企业也可以用它控制原料成本
[12:33.430–12:35.180] 有人拿它给生意上保险
[12:35.180–12:38.930] 也有人拿它放大自己对价格的判断
[12:38.930–12:39.930] 工具没有变
[12:39.930–12:42.180] 使用目的完全不同
[12:42.180–12:43.180] 第三
[12:43.430–12:44.680] 期权合约
[12:44.680–12:48.680] 期权最像生活里的付费保留一个选择
[12:48.680–12:51.180] 比如你看中一套房
[12:51.180–12:53.180] 但还需要一个月确认贷款
[12:53.180–12:54.430] 你先付1万元
[12:54.430–12:55.180] 和卖家约定
[12:55.180–12:59.180] 这一个月内你有权按现在谈好的价格买下它
[12:59.180–13:01.180] 一个月后房价涨了
[13:01.180–13:02.680] 你可以按原价购买
[13:02.680–13:04.180] 如果你发现房子有问题
[13:04.180–13:05.680] 或者市场价格跌了
[13:05.680–13:07.930] 你也可以放弃购买
[13:07.930–13:11.180] 只损失提前支付的这1万元
[13:11.180–13:13.180] 这笔用来买选择权的钱
[13:13.180–13:15.430] 就像期权里的权利金
[13:15.430–13:19.180] 期权买方花钱买到的是权利
[13:19.180–13:21.430] 行情有利可以行使这项权利
[13:21.430–13:23.680] 行情不利也可以放弃
[13:23.930–13:25.930] 而卖方收下权利金以后
[13:25.930–13:28.430] 就承担了按合同履约的义务
[13:28.430–13:31.430] 所以期权里的买卖双方并不对称
[13:31.430–13:32.930] 一边买的是选择
[13:32.930–13:34.680] 另一边卖的是承诺
[13:34.680–13:37.930] 但真实期权不能只判断涨还是跌
[13:37.930–13:39.930] 你的方向可能看对了
[13:39.930–13:41.180] 可涨得太慢
[13:41.180–13:42.680] 时间先到期了
[13:42.680–13:44.930] 权利金照样可能损失
[13:44.930–13:46.680] 市场预期波动变小
[13:46.680–13:48.930] 期权价格也可能发生变化
[13:48.930–13:50.430] 所以期权交易里
[13:50.430–13:52.180] 方向 时间和波动
[13:52.180–13:54.180] 缺一个都不行
[13:54.180–13:55.430] 第四 互换合约
[13:55.430–13:57.930] 互换就是两个人不交换本金
[13:57.930–14:01.680] 只交换未来一组现金流的计算方式
[14:01.680–14:04.430] 先想象两种手机套餐
[14:04.430–14:06.680] 一种每个月固定交100元
[14:06.680–14:08.180] 不管用了多少流量
[14:08.180–14:09.680] 账单都比较稳定
[14:09.680–14:12.180] 另一种按实际流量收费
[14:12.180–14:13.680] 用的少就便宜
[14:13.680–14:15.680] 用的多就更贵
[14:15.680–14:17.430] 有人讨厌账单波动
[14:17.430–14:19.180] 更愿意付固定费用
[14:19.180–14:21.680] 有人觉得未来用量会下降
[14:21.680–14:23.930] 更愿意按实际使用付钱
[14:23.930–14:26.430] 利率互换做的事情很像
[14:26.430–14:29.430] 一家公司借的是浮动利率贷款
[14:29.430–14:30.930] 担心以后利率上涨
[14:30.930–14:32.680] 成本越来越高
[14:32.680–14:35.430] 另一家公司承担固定利率
[14:35.430–14:38.430] 却判断未来利率会下降
[14:38.430–14:44.430] 双方可以按约定交换固定利息和浮动利息产生的现金流效果
[14:44.430–14:45.930] 注意通常交换的不是那笔
[14:45.930–14:46.680] 贷款本金
[14:46.680–14:51.930] 而是按照同一个名义金算出来的利息差企业使用互换
[14:51.930–14:54.430] 很多时候是为了调整债务结构
[14:54.430–14:56.680] 稳定成本或者管理风险
[14:56.930–14:58.180] 四类工具讲完
[14:58.180–14:59.930] 再把它们放回一张图里
[14:59.930–15:03.680] 远期是私下约定未来价格
[15:03.680–15:07.430] 期货是把标准化的远期合同搬进交易所
[15:07.430–15:09.430] 期权是付出一笔钱
[15:09.430–15:11.930] 买下未来选择的权利
[15:11.930–15:16.180] 互换是双方交换未来现金流的计算方式
[15:16.180–15:17.680] 它们有几个共同点
[15:17.680–15:20.680] 价值通常会跟着某项基础资产
[15:20.680–15:23.430] 利率汇率或者指数变化
[15:23.430–15:26.930] 交易的核心是一份关于未来的合同
[15:26.930–15:28.680] 很多产品带有杠杆
[15:28.680–15:31.180] 只看一份封闭的衍生合同
[15:31.180–15:33.430] 一方多获得的收益通常
[15:33.430–15:37.180] 对应另一方少获得的收益或者承担的损失
[15:37.180–15:39.180] 再扣掉手续费等成本
[15:39.180–15:42.680] 所有参与者加起来甚至可能是负和
[15:42.680–15:44.930] 但这不代表衍生品没有价值
[15:44.930–15:49.180] 你提前锁价可能是担心以后买不起
[15:49.180–15:52.930] 对方愿意锁价可能是担心以后卖不出去
[15:52.930–15:56.180] 双方都放弃了一部分未来可能得到的好处
[15:56.180–15:58.180] 换来一份确定性
[15:58.180–15:59.430] 所以
[15:59.430–16:01.930] 衍生品既可以拿来压价格
[16:01.930–16:03.930] 也可以拿来管理风险
[16:03.930–16:05.180] 同样一把伞
[16:05.180–16:06.930] 有人用它挡雨
[16:06.930–16:09.430] 有人拿它赌明天会不会下雨
[16:09.430–16:12.680] 股票不能被这么简单的说成零和游戏
[16:12.680–16:15.680] 比如你和朋友合伙开了一家餐馆
[16:15.680–16:16.930] 餐馆做好菜
[16:16.930–16:18.180] 服务顾客
[16:18.180–16:21.430] 最后创造出新的利润和现金流
[16:21.430–16:23.930] 你作为股东可以分到这笔利润
[16:23.930–16:25.680] 股票背后是一家会经营
[16:25.680–16:26.930] 会赚钱
[16:26.930–16:29.680] 也可能经营失败的公司
[16:29.680–16:33.930] 衍生品背后是一份等待未来结算的合同
[16:33.930–16:35.680] 那为什么基金不是衍生品呢？
[16:35.680–16:39.180] 基金净值确实会跟着股票和债券变化
[16:39.180–16:43.680] 但你购买的是基金份是对一资金池里
[16:43.680–16:47.180] 一组资产的集合投资权益
[16:47.180–16:52.430] 你不是在签一张未来按某个价格交割的衍生合同
[16:52.430–16:54.930] 联动只是衍生品的一个特征
[16:54.930–16:57.680] 不能只看见价格会跟着别的东西变
[16:57.680–16:59.430] 就把所有产品都塞进
[16:59.430–17:00.180] 衍生品
[17:00.180–17:03.180] 金融市场最基础的地图到这里就搭起来了
[17:03.180–17:05.180] 以后遇到任何产品
[17:05.180–17:06.930] 先别问他能赚多少
[17:06.930–17:08.430] 先问5个问题
[17:08.430–17:10.180] 第一我买到的到底是什么？
[17:10.180–17:11.430] 是所有权
[17:11.430–17:14.180] 债权基金份一项资产
[17:14.180–17:15.930] 还是一份衍生合同？
[17:15.930–17:18.430] 第二收益从哪里来？
[17:18.430–17:19.680] 来自企业利润
[17:19.680–17:20.680] 借款利息
[17:20.680–17:21.430] 资产涨价
[17:21.430–17:24.180] 还是交易对手承担的损失？
[17:24.180–17:26.180] 第三谁对我负有责任？
[17:26.180–17:27.680] 是公司借款人
[17:27.680–17:29.180] 管理人交易对手？
[17:29.180–17:31.680] 还是根本没有人承诺还本？
[17:31.680–17:34.430] 第四 最坏会亏到哪里？
[17:34.430–17:35.680] 只亏投入的本金
[17:35.680–17:39.180] 还是因为杠杆可能承担更大的损失？
[17:39.180–17:40.680] 第五我怎么退出？
[17:40.680–17:42.180] 可以随时卖出
[17:42.180–17:43.430] 需要等到期
[17:43.430–17:44.680] 存在封闭期
[17:44.680–17:47.680] 还是市场里可能根本找不到买家？
[17:47.680–17:50.180] 20多岁本金少并不可怕
[17:50.180–17:55.430] 真正危险的是拿应急金去买一份自己都解释不清的东西
[17:55.430–17:57.430] 再把上涨归功于能力
[17:57.430–17:59.430] 把下跌归咎于运气
[17:59.430–18:04.180] 金融入门的第一课不是预测明天涨还是跌
[18:04.180–18:06.430] 是你在签字和付款以前
[18:06.430–18:08.430] 能看懂自己把钱交给了谁
[18:08.430–18:09.930] 换回了什么权利
[18:09.930–18:11.680] 又接下了什么风险
[18:11.680–18:12.930] 今晚
[18:12.930–18:14.180] 打开你的持仓
[18:14.180–18:16.430] 或者找一个你准备购买的产品
[18:16.430–18:18.430] 把刚才5个问题写下来
[18:18.430–18:20.180] 如果连收益从哪里来
[18:20.180–18:22.680] 最坏能亏多少都答不出来
[18:22.680–18:24.930] 就先别追加一分钱
[18:24.930–18:26.680] 等这张地图搭稳以后
[18:26.680–18:28.180] 再去学估值
[18:28.180–18:29.430] 资产配置
[18:29.430–18:31.180] 宏观政策和交易方法
[18:31.180–18:33.180] 那时候你听到的每一个知识点
[18:33.180–18:36.180] 才终于有位置可以落下
[18:36.180–18:38.930] 这里是Yuan的认知笔记
[18:38.930–18:39.765] 我们下期再见
